Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,Interview4_ZH,Interview4_EN,ImageURL,LocalImage
Jason Lim,Jason Lim,Director for Gaming,Director for Gaming,SEI Development Foundation,SEI Development Foundation,Jason Lim 目前在 SEI Development Foundation 负责游戏板块，拥有超过十年游戏行业经验。他擅长通过合作伙伴关系、市场进入策略、用户增长以及品牌和社区建设，帮助合作方扩大市场版图，此前曾在 Immutable Game Studio 与 Bybit 担任关键职位。,"Jason Lim is currently leading the gaming vertical for SEI Development Foundation. With over a decade of experience in the gaming industry. Jason specializes in partnership, go-to market strategies, user acquisition, brand and community building for his partners by leveraging his extensive experience and notable successes in market expansion in his previous roles at Immutable Game Studio and Bybit.",Jason Lim，您在SEI Development Foundation担任Director for Gaming期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Director for Gaming at SEI Development Foundation, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Immutable 和 Bybit 都深度参与游戏业务，如今负责 SEI 的游戏生态。你如何判断一个游戏项目是真的在用区块链增强玩法，而不是简单“加一个 NFT 商城”？,"With experience at Immutable, Bybit, and now leading gaming for SEI, how do you tell if a game is genuinely using blockchain to enhance gameplay rather than just bolting on an NFT shop?",从渠道获取到社区运营，你认为 Web3 游戏团队在 2025 年最应该向传统游戏公司学习的一项技能是什么？,"From user acquisition to community ops, what is the one capability Web3 game teams should learn from traditional studios in 2025?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/a7059d1c40eb4864ba51daac5f9b4f53!_!9ad8d4010e3448a3cbcd2913fa9720bb.png?f=webp,avatars/jason-lim.png
Jeff Liu,Jeff Liu,CEO,CEO,Solayer,Solayer,Jeff Liu 是 Solayer 的首席执行官兼 Fuzzland 联合创始人，带领团队开发全球首个硬件加速区块链 InfiniSVM。凭借超过 20 年企业软件经验，他多次从零到一建设并领导跨行业产品团队。Jeff 的职业生涯始于 Siebel Systems（后被 Oracle 以 50 亿美元收购），随后成为 VMware 核心基础设施团队早期成员；2012 年，他共同创立 LBS 社交数据聚合平台 Portaura，后被阿里巴巴收购，并担任 Veridise 首席运营官。他拥有卡内基梅隆大学工商管理学位以及上海交通大学计算机工程学位。,"Jeff Liu is the CEO of Solayer and Co-Founder of Fuzzland, leading the development of InfiniSVM — the world’s first hardware-accelerated blockchain. With more than 20 years of experience in enterprise software, he has built and led product teams from 0 to 1 across multiple industries. Jeff began his career at Siebel Systems (acquired by Oracle for $5B) and was an early member of VMware’s Core Infrastructure team. In 2012, he co-founded Portaura, an LBS social data aggregation platform later acquired by Alibaba, and served as COO of Veridise. He holds degrees in Business Management from Carnegie Mellon University and Computer Engineering from Shanghai Jiao Tong University.",Jeff Liu，您在Solayer担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Solayer, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在企业软件和底层基础设施领域工作了 20 多年，如今在 Solayer 做硬件加速区块链。你觉得当前公链讨论中，哪一个关于“性能瓶颈”的说法最被夸大？,"With 20+ years in enterprise software and infra, now building a hardware‑accelerated chain at Solayer, which common statement about “performance bottlenecks” in L1s do you think is most exaggerated?",从 Siebel、VMware 到被阿里收购的创业公司，你多次见证技术栈更迭。对今天的 Web3 创业者而言，你会如何建议他们为“未来还没出现的硬件与云架构”预留弹性？,"From Siebel and VMware to exits like the sale to Alibaba, you’ve seen many stack transitions. How would you advise Web3 founders to future‑proof their architecture for hardware and cloud changes that haven’t arrived yet?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/571170e98be844a9a341c4ec9a9a4d20!_!89cbcbd23da73290d57e248f5f67589b.png?f=webp,avatars/jeff-liu.png
Jess Houlgrave,Jess Houlgrave,CEO,CEO,WalletConnect,WalletConnect,Jess 是 WalletConnect 的首席执行官，该公司是金融互联网的连接层。此前，她在全球金融科技公司 Checkout.com 负责加密业务，并曾是英国央行 CBDC 参与论坛成员，以及 UK Finance 新型数字货币指导小组、Innovate Finance 金融科技战略小组和英国国际贸易部金融科技小组的成员。,"Jess is the CEO of WalletConnect, the connective layer for the financial internet. Previously she led Crypto at Checkout.com, a global fintech company. Jess was also a member of the Bank of England CBDC Engagement Forum and a member of UK Finance New Digital Money Steering Group, Innovate Finance Fintech Strategy Group and Department for International Trade Fintech Group",Jess Houlgrave，您在WalletConnect担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at WalletConnect, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从传统金融到 NFT 与支付，再到 WalletConnect CEO。你如何理解“数字所有权”在 2025 年普通用户日常生活中的真实价值，而不仅仅是收藏和头像？,"From TradFi to NFTs, payments, and now CEO of WalletConnect, how do you define the real, everyday value of “digital ownership” for mainstream users in 2025 beyond collectibles and profile pictures?",作为连接层公司负责人，你对“多链未来”的看法有什么变化？你现在更看重的是链之间的资产桥，还是身份与权限的互通？,"As the leader of a connectivity layer, how has your view of a “multi‑chain future” evolved—do you now prioritize asset bridges between chains, or interoperability of identity and permissions?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/249ba12aca814dc7b12aa12541d85619!_!523ba9189ff605272a236d379e8547ab.png?f=webp,avatars/jess-houlgrave.png
Joey Awwad,Joey Awwad,Binance Angel,Binance Angel,,,这位来自 MENA 地区的营养师转型为 Binance 志愿者（Binance Angel），负责当地社区的支持与教育工作。,Dietitian turned Binance Angel – MENA Region,Joey Awwad，您在贵团队担任Binance Angel期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Binance Angel at your team, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在中东创投和加密生态中扮演重要角色。对本地创业者来说，你认为在融资路演中最容易忽略、却最能打动国际投资人的一部分故事是什么？,"You play a key role in the Middle Eastern VC and crypto ecosystem. For local founders, what part of their story do they most often overlook in fundraising, even though it could most impress global investors?",从投后管理角度看，你最希望 Web3 创始团队在治理结构或信息披露上提前做好哪一件事，以避免后期复杂的股权与代币纠纷？,"From a post‑investment viewpoint, what governance or disclosure step do you wish Web3 teams would put in place early to avoid messy equity and token disputes later?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/0feeda687ed24a39a2592f0f65ced0ee!_!f8eda5fe462ef211b9e07e6f41dd8443.png?f=webp,avatars/joey-awwad.png
Johann Eid,Johann Eid,Chief Business Officer,Chief Business Officer,Chainlink Labs,Chainlink Labs,作为首席商务官，Johann 负责协调所有希望基于 Chainlink  构建的开发者和协议的接入流程。采用 Chainlink 的项目覆盖 DeFi、NFT、游戏、保险等广泛的去中心化应用领域；自 2019 年以来，他即参与使用 Chainlink 推动 DeFi 发展的进程，与 Aave、Synthetix 等现已成为行业领军者的协议密切合作。他坚信区块链与混合智能合约将重塑现代金融体系以及人类与之互动的方式。,"As Chief Business Officer, Johann oversees the integration process for developers and protocols looking to build with Chainlink. Projects implementing Chainlink span a vast array of decentralized applications, including decentralized finance (DeFi), NFTs, gaming, insurance, and more. Johann has been involved in shaping the DeFi space through the use of Chainlink since its inception in 2019, when he worked with now-leading DeFi protocols like Aave and Synthetix. He is a firm believer that blockchain technology and hybrid smart contracts are set to revolutionize modern financial systems and our relationships with them.",Johann Eid，您在Chainlink Labs担任Chief Business Officer期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Chief Business Officer at Chainlink Labs, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Chainlink 负责商务和生态拓展，从 DeFi 到 RWA 都在用预言机。站在今天，你觉得哪个新领域会成为预言机需求的“下一条 S 曲线”？,"As Chief Business Officer at Chainlink, you’ve seen oracles power everything from DeFi to RWAs. From today’s vantage point, which new vertical do you think will generate the next S‑curve of oracle demand?",当你和机构客户讨论混合智能合约时，你会用什么样的真实案例证明：链上与链下数据结合能创造传统系统完全做不到的东西？,"When talking to institutions about hybrid smart contracts, what real‑world example do you use to show that combining on‑ and off‑chain data enables something legacy systems simply cannot do?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/7fb469bc194642a8adb237812f70e1e9!_!500c09b1d723c793eeae633ef8f7a1fb.png?f=webp,avatars/johann-eid.png
Jon Rice,Jon Rice,Editor-in-Chief,Editor-in-Chief,Cointelegraph,Cointelegraph,暂无中文介绍（可在 CSV 中补充）,,Jon Rice，您在Cointelegraph担任Editor-in-Chief期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Editor-in-Chief at Cointelegraph, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在多家加密媒体担任编辑和创始人。你如何在新闻编辑室里建立一套机制，既能快速跟进热点，又能防止“为流量牺牲事实”？,"Having led and founded several crypto media outlets, how do you design newsroom processes that allow rapid coverage of breaking stories without sacrificing accuracy for clicks?",站在媒体人的角度，你认为 Web3 项目在面向公众沟通时最应该抛弃的一种旧互联网 PR 心态是什么？,"From a media perspective, what old‑internet PR mindset should Web3 projects abandon first when they communicate with the public?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",,assets/default-avatar.svg
Joseph Wang,Joseph Wang,Head of Cloud AI Solutions,Head of Cloud AI Solutions,Google Cloud,Google Cloud,Joseph Wang 现任 Google Cloud  云端 AI 解决方案负责人，是应用人工智能领域专家。他拥有哥伦比亚大学物理学博士学位，在 Amazon  和 Google 等公司领导团队构建机器学习与生成式 AI 解决方案，应用于个性化营销、运营效率提升以及从零构建创新 AI 系统等场景。,"Joseph Wang is Head of Cloud AI Solutions at Google Cloud and an expert in applied artificial intelligence. He holds a Ph.D. in Physics from Columbia University and has a proven track record of leading teams to deliver impactful business solutions using Machine Learning and Generative AI. His past work at companies like Amazon and Google includes developing solutions for personalized marketing, operational efficiency, and building novel AI systems from the ground up.",Joseph Wang，您在Google Cloud担任Head of Cloud AI Solutions期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head of Cloud AI Solutions at Google Cloud, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Google Cloud 负责 AI 解决方案，也有一线物理和机器学习背景。你如何看待“加密 × AI”在企业级场景中的真正落地点，而不是只停留在概念？,"As Head of Cloud AI Solutions at Google Cloud with a physics and ML background, where do you see the most realistic enterprise intersections of crypto and AI, beyond buzzwords?",对那些想在大模型和区块链双赛道同时布局的企业，你会建议他们先在数据治理上完成哪一步“打地基”的工作？,"For companies trying to play in both LLMs and blockchain, what foundational data‑governance step must they complete before doing anything flashy?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/9f83da5788174588a7cf2b7de0359e90!_!1983a1808b76262593b37dcdf230495b.png?f=webp,avatars/joseph-wang.png
Joshua Sum,Joshua Sum,Head of Product,Head of Product,Solayer,Solayer,Joshua 在 Solayer 负责产品、工程和集成相关工作，推动平台技术与业务落地。,"Joshua leads product, engineering, and integration efforts at Solayer.",Joshua Sum，您在Solayer担任Head of Product期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head of Product at Solayer, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Solayer 负责产品和工程集成，兼顾技术与 BD。你在和合作伙伴解释“硬件加速链”的价值时，最常用的一种量化指标是什么？,"Leading product, engineering, and integrations at Solayer, you bridge tech and business. When explaining a hardware‑accelerated chain to partners, what single quantitative metric do you lean on most?",从开发者体验角度，如果你要说服一个以太坊开发者迁移或扩展到新链，你会优先优化哪三个环节来降低他们的迁移成本？,"From a developer‑experience standpoint, if you want an Ethereum developer to build on or extend to a new chain, which three touchpoints would you optimize first to lower their switching costs?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/9eb28020caf14932a49bcd5fe4caad9f!_!90b5e4ace655830225f092ff2210895e.png?f=webp,avatars/joshua-sum.png
Karin Veri,Karin Veri,Binance Square BD,Binance Square BD,Binance,Binance,Karin 负责 Binance Square 的全球商务拓展，通过与顶级项目、媒体和意见领袖合作，推动 Square 的全球创作者生态增长。,"Karin oversees global Business Development for Binance Square, driving partnerships with top projects, media, and KOLs to grow Square’s global creator ecosystem.",Karin Veri，您在Binance担任Binance Square BD期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Binance Square BD at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Binance Square 负责全球 BD，要同时面对项目方、媒体和 KOL。你如何判断一位创作者是否具备“长期合作价值”，而不仅仅是短期流量？,"As the global BD lead for Binance Square, you work with projects, media, and KOLs. How do you decide whether a creator has true “long‑term partnership value” rather than just short‑term traffic?",你在搭建全球创作者生态时，最希望各地区团队在本地化运营上做出哪一项统一标准，来保证内容质量和合规？,"When building a global creator ecosystem, what single common standard do you want regional teams to adopt in local operations to ensure both content quality and compliance?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/5326f0bde73a4e34b896741ec0d4197f!_!a67508228c86394e96afb64dc96f7df7.png?f=webp,avatars/karin-veri.png
Keith Kim,Keith Kim,COO,COO,NEXPACE,NEXPACE,Keith Kim 是 Nexpace 的首席运营官，领导 MapleStory Universe（MSU）项目。作为 MSU 的创始成员之一，他自 2021 年 11 月起在经济沉浸体验与整体战略上发挥关键作用，负责设计代币经济、制定政策运营并推动整体战略与协议化进程。Keith 于 2021 年加入 Nexon，在韩国 Nexon 情报实验室部门担任项目经理，主导“gamescale”平台，将 Nexon 的运营、AI 与机器学习解决方案首次对外开放。在此之前，他是一名资深产品和项目经理，在银行、航运、金融科技、医疗和教育等多个行业开发并成功落地 30 余个项目。作为资深玩家和 MapleStory 忠实粉丝，Keith 现将热情与专业投入 MSU 的发展，致力于在链游领域提升经济沉浸感与用户参与度。,"Keith Kim is COO at Nexpace, where he leads the MapleStory Universe (MSU) project. As a founding member of MSU, Keith has been instrumental in shaping the project's economic immersion and strategic direction since November 2021. He is responsible for designing tokenomics, overseeing policy-making operations, and driving overall strategy and protocolization. Keith joined Nexon in 2021 as a Project Manager in the Intelligence Labs division of Nexon Korea, where he spearheaded ""gamescale,"" a platform that extended Nexon's live-ops, AI, and machine learning solutions to external companies for the first time. Before his tenure at Nexon, Keith was an experienced product and project manager, having developed and successfully launched over 30 projects across various industries, including banking, shipping, fintech, healthcare, and education. An avid gamer and lifelong MapleStory fan, Keith now channels his passion and expertise into the development of MSU, enhancing economic immersion and engagement within the blockchain gaming landscape.",Keith Kim，您在NEXPACE担任COO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the COO at NEXPACE, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 MapleStory Universe 负责经济与代币设计。你如何向传统玩家解释：链上经济既可以有投机性，也可以保持游戏世界观的一致性？,"As COO of Nexpace leading MapleStory Universe, how do you explain to traditional gamers that an on‑chain economy can be speculative yet still consistent with the game’s lore and values?",如果把一位核心玩家看成“合伙人”，你最希望他们在链游经济中参与哪一种治理或创作角色，而不是只关注奖励？,"If you treat a core player as a “partner,” what governance or creative role would you most like them to play in a Web3 game economy beyond simply chasing rewards?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/ff9c9c2e267a413588a4873d891cf6d3!_!3b2486914d69056be3f045ddc88d9e8c.png?f=webp,avatars/keith-kim.png
Kenneth Shek,Kenneth Shek,Project Lead,Project Lead,Moca Network,Moca Network,Kenneth Shek 是 Moca Network 项目负责人，也是 Animoca Brands 旗下项目负责人，该公司是一家估值 60 亿美元的区块链企业。在过去 15 年中，Kenneth 共同创办并运营了多家初创公司，涵盖可再生能源、跨境电商和人工智能等领域。正是他对前沿技术大规模普及的执着，推动他走上领导岗位，为财富 500 强企业倡导 AI 与 Web3 的深度融合。他对技术的痴迷贯穿整个职业生涯，从风险创业到技术探索，最终选择将自己的才华奉献给充满魅力的 Web3 世界。,"Kenneth Shek is the Project Lead of Moca Network and Head of Projects at Animoca Brands, a $6 billion blockchain company. Over the past 15 years, Kenneth has co-founded and operated a diverse range of startups, spanning from renewable energy and cross-border e-commerce to artificial intelligence. However, it was his unwavering passion for promoting mass adoption of cutting edge technologies that propelled him into a leadership role, advocating for AI and Web3 integration for Fortune 500 companies.Kenneth’s obsession with technology has consistently fueled his professional pursuits. His whole career has been about venture building and technology, and eventually discovering the industry to which he would dedicate his talents: the captivating world of Web3.",Kenneth Shek，您在Moca Network担任Project Lead期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Project Lead at Moca Network, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Moca Network 和 Animoca Brands 推动大规模 Web3 采用。你如何判断一个 IP 是否适合做链上扩展，而不是停留在 Web2 授权？,"At Moca Network and Animoca Brands, you drive mass Web3 adoption. How do you decide whether an IP is truly suitable for on‑chain expansion instead of remaining a Web2 licensing play?",你强调 Fortune 500 与 Web3 的结合。以你的经验，大公司内部最需要被改变的一种“KPI 思维”是什么，才能真正接受开放式生态？,"You often work with Fortune 500s. From your experience, what KPI mindset inside large corporations must change before they can genuinely embrace open Web3 ecosystems?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/3d6f8f304299441f819130ac3514e800!_!56e48b8a7ea80bfafe90724acd089810.png?f=webp,avatars/kenneth-shek.png
Kenny Li,Kenny Li,Co-Founder,Co-Founder,MANTA,MANTA,Kenny Li 是 Manta Network 的联合创始人。在此之前，他于 2020 年在麻省理工学院获得 MBA 学位，并在校期间担任多门课程（主要为区块链相关）助教，同时与 MIT 数字货币计划（DCI）合作。作为成功的创业者，Kenny 在过去十余年中创立、辅导并投资多家初创企业。,"Kenny Li is the Co-Founder of Manta Network. Prior to this, Kenny received an MBA from MIT in 2020. Whilst at MIT, he was a teaching assistant for several courses, mainly blockchain-based, and worked with the Digital Currency Initiative (DCI). As a successful entrepreneur, Kenny has started, advised, and invested in startups for over a decade.",Kenny Li，您在MANTA担任Co-Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder at MANTA, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Manta Network 做隐私与模组化基础设施。你如何向监管者解释“隐私公链”既能保护用户，又能满足合规审查需求？,At Manta Network you work on privacy and modular infra. How do you explain to regulators that a privacy‑focused chain can protect users while still meeting audit and compliance requirements?,你曾在 MIT 教学与创业，对学生和年轻开发者来说，你最希望他们在设计隐私协议时先思考的不是技术，而是哪一个现实场景？,"Having taught and built at MIT, what real‑world scenario do you want students and young developers to think about first when designing privacy protocols, before diving into the tech?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/2445a83b31954dac880c15342b952493!_!a94bcd5f33d34aa0533910b418470d70.png?f=webp,avatars/kenny-li.png
Kevin Kwong,Kevin Kwong,CBO,CBO,MemeStrategy,MemeStrategy,Kevin Kwong 现任 MemeStrategy 首席商务官，全面负责集团的整体业务战略。凭借 20 余年横跨财富 500 强跨国公司与高速成长初创企业的业务及产品开发经验，他展现出跨领域的领导力。自 2019 年起，他担任国际知名表情包平台 9GAG 的首席商务官，领导公司战略规划并成功推动集团从 Web2 向 Web3 转型；任内主导其 Web3 业务 Memeland 的业务拓展与战略合作，显著提升整体业务表现。2018 至 2019 年期间，他出任 OSL Group（股票代码：863）市场总监，这是一家获香港证监会（SFC）发牌的全球首家虚拟资产交易平台，他在任内协助制定全球营销策略，巩固了公司在虚拟资产领域的领导地位。在此之前，他曾在 Microsoft 和 Yahoo 等跨国科技企业担任多项产品开发与市场管理职位。,"Mr. Kevin Kwong is the Chief Business Officer of MemeStrategy, overseeing the group's overall business strategy. With over 20 years of extensive business and product development experience, his career spans Fortune 500 multinational corporations and high-growth startups, demonstrating his cross-domain leadership capabilities.Since 2019, Mr. Kwong has been the Chief Business Officer at the internationally renowned meme platform 9GAG, leading corporate strategic planning and successfully driving the group's transition from Web2 to Web3. During his tenure, he spearheaded business development and strategic partnerships for its Web3 venture, Memeland, significantly enhancing its business performance. From 2018 to 2019, he served as the Head of Marketing at OSL Group (Stock Code: 863), the world's first virtual asset trading platform licensed by the Hong Kong Securities and Futures Commission (SFC). In this role, he helped formulate global marketing strategies, effectively solidifying the company's market leadership in the virtual asset sector. Before this, he held various management positions in product development and marketing at multinational technology companies such as Microsoft and Yahoo.",Kevin Kwong，您在MemeStrategy担任CBO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CBO at MemeStrategy, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 9GAG 和 Memeland 推动 Web2 社区向 Web3 迁移。回顾这个过程，粉丝真正在意的“价值变化”是什么，而不仅仅是空投和白名单？,"At 9GAG and Memeland you steered a Web2 community into Web3. Looking back, what value shift did fans actually care about beyond airdrops and allowlists?",作为 MemeStrategy 的 CBO，你如何衡量一个梗文化项目在进入 Web3 之后，是否真的形成了可持续的品牌资产？,"As Chief Business Officer at MemeStrategy, how do you measure whether a meme‑driven project has turned into a sustainable brand asset after going on‑chain?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/0bec296d440c4f8cae5d486833e5b832!_!f683ba2fb9d2d46c8742593ebe2e0dbc.png?f=webp,avatars/kevin-kwong.png
Kevin Cheng,Kevin Cheng,Founder,Founder,Heima Network,Heima Network,Kevin Cheng 是 Heima Network 的创始人，由对跨链和 Web3 技术的热情驱动。凭借工程背景，他自 2020 年起就站在跨链创新前沿，发起了先驱项目 Litentry，并将其演进为 Heima Network，以探索去中心化身份、链抽象和代理经济的新边界。,"Kevin Cheng is the founder of Heima Network, driven by a deep passion for cross-chain and Web3 technologies. With an engineering background, he has been at the forefront of cross-chain innovation since 2020. Kevin launched the pioneering Litentry project, which later evolved into Heima Network, to push the boundaries of decentralized identity, chain abstraction, and agent economy.",Kevin Cheng，您在Heima Network担任Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder at Heima Network, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Heima Network 深耕跨链和 DID。你如何向普通用户解释“链抽象”和“代理经济”，让他们明白这并不是又一层复杂性？,At Heima Network you focus on cross‑chain and DID. How do you explain chain abstraction and agent economies to everyday users so they don’t feel like “one more layer of complexity”?,回顾从 Litentry 到 Heima 的迭代，哪一个产品决策最能体现你从“技术驱动”转向“用户驱动”的思维变化？,"From Litentry to Heima, which single product decision best reflects your shift from a tech‑driven to a user‑driven mindset?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/55eeaa38c03f43a89532f84a68fa7e00!_!44654dbb4636278bd4ff50cdbdb26691.png?f=webp,avatars/kevin-cheng.png
